"Transcript Position (%)","strain_185","strain_188","strain_189","strain_191","strain_48"
29,18935.874767398942,18619.25657237883,18259.918916664923,18015.487107766723,18191.93759964973
30,19110.943628271016,18795.3114223602,18417.912026666465,18159.36137258638,18355.796321468737
31,19255.297692016327,18928.709191638238,18540.05984291746,18273.32050396104,18473.990086922917
32,19396.687783840873,19067.891273017816,18660.10504024236,18394.06946341595,18593.098955396905
33,19585.035559485463,19263.41563901692,18825.842679679405,18556.410195665954,18744.62007243111
34,19714.46225368164,19392.69194520245,18933.47723204669,18662.828171620433,18824.415575653013
35,19877.427885356792,19539.024993844094,19074.130357850037,18801.523198201983,18948.668436855056
36,20048.646241945473,19706.393566105744,19216.620270248288,18944.055501985582,19102.405412583234
37,20191.685093888438,19839.130542415027,19337.858191081807,19063.161868931136,19232.915269952315
38,20215.08181455781,19859.261679179883,19365.435919840253,19082.691665945287,19273.63190247962
39,20212.18649399027,19859.08607571251,19363.734252494713,19072.173283953052,19286.15102176511
40,20217.11904686421,19863.525064665297,19371.398247039688,19067.957023888004,19320.725411876923
41,20275.38260899306,19921.290400071597,19407.755814211454,19106.761255888134,19362.16052554312
42,20288.424698191175,19936.955596852527,19415.410539124936,19110.94370789895,19336.56229164762
43,20285.906195147192,19943.85685400841,19413.95772630744,19100.303899525483,19317.314261293424
44,20300.91328662181,19971.66354510923,19429.006789560317,19113.531813180092,19320.52132257509
45,20326.288521792,20003.42514117659,19457.474197735388,19144.05714088273,19322.937905020823
46,20326.958733505042,20004.45788247296,19454.537690249294,19138.312927375446,19306.070835113187
47,20324.60012009384,19996.664104068637,19447.51246611633,19126.703669044797,19310.932143984788
48,20273.176612353454,19950.816609160927,19402.63898092764,19088.36049106992,19275.785477963505
49,20206.161971053,19889.131817104386,19336.251384102387,19024.613786294387,19224.401969159724
50,20109.534142786822,19793.839950628713,19249.890278064926,18929.03351141144,19158.572694532308
51,19979.588670013178,19671.62235734204,19137.42138919926,18818.127102085855,19029.370946410123
52,19870.17914363024,19569.863087946844,19042.33993090477,18723.538161421005,18908.95149297337
53,19759.689764477993,19467.417505534675,18938.0839756362,18617.395191878048,18818.645389016154
54,19684.74021432678,19400.607878376664,18877.280461176248,18554.775511712676,18757.798800690853
55,19612.33496373126,19329.415344891833,18818.0763609877,18491.15587260467,18669.499571415403
56,19491.974917594824,19223.90372700573,18716.788028439976,18391.583911995283,18573.95990450393
57,19335.029603779825,19067.401135140626,18561.950532365983,18240.650888672906,18429.006027840172
58,19174.397948122372,18906.03895723756,18411.710216690673,18102.532131635344,18264.402357694624
59,19054.59352697136,18783.107955638112,18301.9809143177,17989.095467566294,18136.656292968153
60,18894.781113510526,18623.15423994053,18149.67995662534,17841.024972068153,17985.721991345483
61,18659.845175743474,18394.225600262336,17938.88116970155,17638.270739959386,17764.963016614496
62,18407.89828655,18148.96736496348,17707.88712875044,17425.605873821445,17527.86726992922
63,18160.966706777872,17910.378400654816,17487.2867888767,17208.47308573733,17310.102173128937
64,17957.801385142826,17709.125148274616,17309.029849115243,17041.0621376611,17124.469300350946
65,17692.314238423245,17449.505866150008,17078.674704076322,16816.12524017162,16882.388254539706
66,17402.45738184478,17161.63634088222,16814.71565016381,16559.995356013063,16611.970472386645
67,17153.90148122275,16919.68955076342,16604.282453315718,16340.589333726919,16382.029892895212
68,16838.839625806995,16603.66538672842,16313.842615993468,16058.160105676652,16094.573307003058
69,16519.73294659605,16289.515805273753,16019.481721218539,15774.466900046684,15802.555615270563
70,16204.192529780616,15975.794724320018,15724.806647871215,15490.645118867838,15503.855875622734
71,15869.44932498467,15660.079688305439,15419.290875421497,15193.30778550706,15207.988524474069
72,15502.628635278286,15311.565840652213,15095.527864579026,14875.206716286915,14894.283676380328
73,15162.51699099,14988.461397792391,14786.446500749604,14582.657170915423,14579.076415073918
74,14794.534662755785,14629.394879517042,14440.544537042466,14253.47174975572,14256.133770796441
75,14366.93235072366,14213.836887255397,14048.715842388876,13870.437658457984,13876.601770356374
76,13881.758189944563,13742.666207213902,13587.995920015082,13438.577424178575,13420.452311728446
77,13402.625376421467,13285.691056422827,13146.160322763038,13015.604783273287,12961.63208049983
78,12957.436088776853,12860.930256693797,12742.691140841813,12615.905390557979,12541.87032585559
79,12518.136273340482,12429.455199539685,12322.811929466245,12210.022845863674,12143.781164036247
80,11985.093606822737,11919.293570092528,11816.915849985602,11721.665437095684,11654.887829675932
81,11447.726452609346,11389.681561419955,11285.915480282541,11204.573351340121,11147.179466579815
82,10798.276725992453,10742.560889346258,10665.827164983722,10593.259204337597,10568.744304438655
83,10203.672087259447,10168.198375474854,10108.021127561642,10047.285954657007,10027.228672503525
84,9658.686714429587,9628.761349925837,9578.231968168899,9523.073447940666,9504.889543612477
85,8930.56813326157,8909.694030277564,8883.354072382917,8826.646185425496,8829.077494686871
86,8212.8565521692,8197.271666355637,8188.006863436241,8137.0547956808105,8158.379187113441
87,7503.6762866108365,7503.944102985701,7499.601142835979,7457.570708749704,7482.372132851648
88,6840.595435450858,6852.773527948677,6851.159255566304,6809.492766997553,6827.58785998861
89,6136.9471000205,6152.490254940497,6157.760685079183,6113.361931812799,6136.795668483238
90,5397.690826108383,5418.782525433167,5428.8224184940145,5387.492901384863,5414.275791900472
91,4738.146700258104,4758.245044910633,4772.826754855174,4735.715477102627,4757.720330503377
92,4061.6075397800505,4081.7978896573295,4093.269670110713,4052.1663069872266,4066.136052943094
93,3296.4940917481954,3321.135810054068,3318.315614349891,3286.744634254855,3292.661847471551
94,2545.1793252471484,2573.9359929503303,2569.5167199554726,2536.1684161656694,2546.4381991315727
95,1916.467616603908,1935.6256469035382,1931.5141330632093,1899.3278300107445,1917.902051221204
96,1296.9400978728738,1307.9444862255061,1308.4433946716113,1284.4041104351256,1278.6594096905508
97,780.1700519772666,786.226929656979,789.2421484901862,768.1743301188072,745.3464464142878
98,386.9646077671037,389.0913101058757,391.95642250506523,377.99428997552985,365.4133929408808
99,85.98707432900108,86.8610868405809,84.36689409822084,83.82288363027534,79.32191697952115
